rName	Reads	Index	rSubPool
3_TXNDC12_2	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_2	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSFM_3	288	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MARS2_2	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_3	161	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_1	144	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NTHL1_2	251	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDSS1_2	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TBRG4_1	TBRG4	50	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MID1IP1_3	MID1IP1	90	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_C8ORF82_1	C8ORF82	32	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_EARS2_1	EARS2	45	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SDSL_2	SDSL	41	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RNASEL_4	RNASEL	79	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATP5I_2	ATP5I	46	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_EARS2_3	EARS2	57	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SDSL_4	SDSL	40	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ACO1_2	ACO1	61	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATP5I_1	ATP5I	21	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_CPT1C_3	CPT1C	23	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MMACHC_1	MMACHC	13	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_COX18_1	COX18	4	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SHMT1_4	SHMT1	2	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ALDH3A2_1	ALDH3A2	0	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_GCSH_2	GCSH	0	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SLC25A46_1	SLC25A46	0	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MID1IP1_4	MID1IP1	0	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_COX6B2_2	COX6B2	0	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TXNDC12_2	TXNDC12	160	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PKLR_1	PKLR	148	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ANXA6_2	ANXA6	117	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_TSFM_3	TSFM	275	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MARS2_2	MARS2	140	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MTX2_3	MTX2	184	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MGST1_1	MGST1	158	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_NTHL1_2	NTHL1	56	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PDSS1_2	PDSS1	171	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_KIF1B_2	KIF1B	95	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_FAHD1_1	FAHD1	39	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_GNB2L1_3	GNB2L1	231	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ECI2_4	ECI2	63	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MAOB_4	MAOB	198	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ATP5I_3	ATP5I	178	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RNF5_4	RNF5	511	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_TXNDC12_4	TXNDC12	349	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MTERF2_4	MTERF2	137	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NIPSNAP3A_2	NIPSNAP3A	139	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RPL35A_3	RPL35A	51	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DDHD2_3	DDHD2	183	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SLC25A21_2	SLC25A21	135	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_KIF1B_1	KIF1B	181	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPS18C_2	MRPS18C	149	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_COX20_4	COX20	82	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RSPH9_1	RSPH9	150	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__16	_NONTARGET_	78	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_YARS2_4	YARS2	377	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_GCSH_3	GCSH	84	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_COX18_2	COX18	57	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PARK7_4	PARK7	307	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_FAHD2A_4	FAHD2A	86	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SUCLA2_1	SUCLA2	127	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_YARS2_2	YARS2	65	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NDUFA13_2	NDUFA13	154	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DDHD2_2	DDHD2	164	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TFDP2_2	TFDP2	90	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_METTL17_3	METTL17	558	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ATG13_1	ATG13	175	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ABCB7_2	ABCB7	455	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPL18_2	MRPL18	522	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DDX28_3	DDX28	160	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_COX6B2_3	COX6B2	93	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PDE2A_4	PDE2A	177	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_AK3_4	AK3	454	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_BPHL_4	BPHL	228	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MYO19_1	MYO19	201	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ABCG2_3	ABCG2	233	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RNASEL_3	RNASEL	169	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DNAJC19_4	DNAJC19	40	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPL18_3	MRPL18	115	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__6	_NONTARGET_	60	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SARDH_1	SARDH	195	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GFM2_1	GFM2	163	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LETMD1_4	LETMD1	194	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_FAM162A_1	FAM162A	128	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPL42_1	MRPL42	397	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LONP2_1	LONP2	125	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SYNJ2BP_2	SYNJ2BP	392	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ETHE1_1	ETHE1	126	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLUD2_3	GLUD2	234	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_MFN2_1	MFN2	261	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LMAN1_4	LMAN1	137	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLRX5_3	GLRX5	222	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LIAS_3	LIAS	158	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_BNIP3L_1	BNIP3L	552	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RDH13_4	RDH13	197	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_VPS11_4	VPS11	218	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TFDP2_1	TFDP2	378	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SDHA_1	SDHA	191	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_NFE2L2_4	NFE2L2	126	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LACE1_1	LACE1	118	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NADK2_3	NADK2	363	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SYNJ2BP_3	SYNJ2BP	82	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_ARMCX1_4	ARMCX1	465	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SDHAF1_1	SDHAF1	68	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_GPX1_1	GPX1	209	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LARS2_3	LARS2	129	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TOMM70A_3	TOMM70A	110	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TOMM70A_2	TOMM70A	296	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_CMPK2_3	CMPK2	34	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TOMM70A_4	TOMM70A	342	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PDP1_1	PDP1	536	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_GPX4_2	GPX4	195	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LETMD1_1	LETMD1	610	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ABCG2_2	ABCG2	101	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_OXR1_4	OXR1	236	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_FASTK_4	FASTK	126	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_TMEM126A_1	TMEM126A	102	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TIMM10B_3	TIMM10B	107	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_ARMCX1_1	ARMCX1	287	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_BDH1_4	BDH1	157	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MGST1_4	MGST1	227	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MLH1_1	MLH1	433	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MMAA_2	MMAA	167	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_CALM1_1	CALM1	414	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_HSD17B4_3	HSD17B4	381	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_THNSL1_1	THNSL1	162	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_PDF_3	PDF	96	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPS18C_3	MRPS18C	197	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_HSD17B4_4	HSD17B4	96	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_SARM1_2	SARM1	116	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MYO19_3	MYO19	132	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLUD1_4	GLUD1	78	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ALDH7A1_4	ALDH7A1	158	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LETM1_3	LETM1	255	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_COQ3_4	COQ3	95	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_OPA1_3	OPA1	386	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NDUFA3_1	NDUFA3	104	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ATP5I_4	ATP5I	159	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_UQCR10_1	UQCR10	198	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SLC27A1_4	SLC27A1	93	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_METTL8_1	METTL8	280	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_APOA1BP_2	APOA1BP	154	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_MFN2_4	MFN2	390	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ACSL4_4	ACSL4	142	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LIAS_4	LIAS	120	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_COX20_1	COX20	204	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPS2_3	MRPS2	86	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_MRPL33_1	MRPL33	181	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ATG13_4	ATG13	333	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MGST1_2	MGST1	136	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPL27_1	MRPL27	211	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RPL35A_1	RPL35A	221	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ACOT9_3	ACOT9	103	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DNAJC19_3	DNAJC19	249	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SLC27A1_1	SLC27A1	246	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ACOT9_2	ACOT9	136	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLUD1_3	GLUD1	275	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLS_1	GLS	317	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPS18C_4	MRPS18C	274	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MMAA_1	MMAA	158	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_C8ORF82_3	C8ORF82	195	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLUD2_4	GLUD2	83	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_DHCR24_3	DHCR24	52	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_CPT1C_4	CPT1C	89	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_C2ORF69_4	C2ORF69	71	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GOT1_1	GOT1	241	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MTX2_4	MTX2	445	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PDE2A_1	PDE2A	174	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ABCB7_1	ABCB7	111	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_SOD1_2	SOD1	51	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GFM2_3	GFM2	135	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TOMM70A_1	TOMM70A	165	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MMACHC_3	MMACHC	171	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_NFE2L2_3	NFE2L2	145	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_LETM1_1	LETM1	75	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_MFN2_3	MFN2	130	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_PPOX_2	PPOX	149	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RSAD2_1	RSAD2	198	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__2	_NONTARGET_	196	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SHMT1_2	SHMT1	118	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MTX2_2	MTX2	110	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_CECR5_2	CECR5	138	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_STOML2_1	STOML2	115	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_MTERF3_1	MTERF3	86	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ATP10D_1	ATP10D	230	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GBAS_2	GBAS	108	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_MTIF3_4	MTIF3	242	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPL27_3	MRPL27	152	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_NFE2L2_1	NFE2L2	91	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_HSPB7_4	HSPB7	111	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TFDP2_4	TFDP2	185	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ACOX1_4	ACOX1	176	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MMAA_3	MMAA	448	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ECI2_2	ECI2	139	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2__NONTARGET__4	_NONTARGET_	334	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ATP10D_3	ATP10D	200	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__4	_NONTARGET_	171	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ABHD11_2	ABHD11	81	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPS14_1	MRPS14	184	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_HSPB7_3	HSPB7	279	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_OPA1_2	OPA1	73	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TFAM_2	TFAM	220	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ABCD2_3	ABCD2	57	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_HSPB7_2	HSPB7	274	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__7	_NONTARGET_	99	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ACSL4_2	ACSL4	94	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SLIRP_2	SLIRP	269	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ALAS1_4	ALAS1	150	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_GCSH_4	GCSH	34	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LONP2_2	LONP2	170	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_SDSL_1	SDSL	241	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ACOX1_2	ACOX1	167	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_TMEM126A_2	TMEM126A	114	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_AK4_2	AK4	443	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_ABCD1_3	ABCD1	261	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RSAD2_2	RSAD2	253	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ECI2_1	ECI2	155	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_UBE2D3_2	UBE2D3	185	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NT5M_4	NT5M	298	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_CMPK2_1	CMPK2	132	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLS_3	GLS	176	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_COX7A2L_3	COX7A2L	98	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_SOD1_3	SOD1	98	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ALAS1_2	ALAS1	154	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_DHCR24_2	DHCR24	121	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_UCP3_1	UCP3	106	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__3	_NONTARGET_	111	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3__NONTARGET__8	_NONTARGET_	366	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ATIC_1	ATIC	128	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_FAHD2A_2	FAHD2A	71	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_ARMCX1_2	ARMCX1	283	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ACO1_1	ACO1	123	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_TSTD3_3	TSTD3	152	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_CALM1_2	CALM1	190	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_EYA2_4	EYA2	82	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__8	_NONTARGET_	80	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPL11_3	MRPL11	97	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MRPL42_2	MRPL42	317	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_NADK2_2	NADK2	208	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_CROT_2	CROT	171	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_DDX28_2	DDX28	122	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SDHA_4	SDHA	230	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MRPS2_4	MRPS2	116	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_SHMT1_3	SHMT1	60	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_CROT_4	CROT	189	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__10	_NONTARGET_	77	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_MRPL35_3	MRPL35	204	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_HADHB_2	HADHB	42	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GOT1_3	GOT1	183	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
1_VPS11_3	VPS11	155	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PKLR_2	PKLR	294	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_EARS2_4	EARS2	191	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_C2ORF69_2	C2ORF69	90	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_SLC25A46_4	SLC25A46	75	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ANXA6_3	ANXA6	267	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_PARK7_2	PARK7	63	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_UQCR10_4	UQCR10	77	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MGST1_3	MGST1	139	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ATP10D_4	ATP10D	132	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_CECR5_3	CECR5	387	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__15	_NONTARGET_	1448	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SCO1_1	SCO1	120	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ATP5L_3	ATP5L	39	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_HADHB_3	HADHB	136	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RNF5_2	RNF5	143	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_SDHAF2_4	SDHAF2	42	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_YARS2_3	YARS2	86	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_TBRG4_4	TBRG4	64	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_ISCA2_2	ISCA2	50	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4__NONTARGET__11	_NONTARGET_	266	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_LIAS_2	LIAS	114	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_SOD1_4	SOD1	99	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ATP10D_2	ATP10D	108	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_BPHL_2	BPHL	250	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_RSPH9_3	RSPH9	70	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_TMEM177_2	TMEM177	45	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_ALDH3A2_4	ALDH3A2	163	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLUD2_1	GLUD2	228	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_DHCR24_1	DHCR24	84	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_IDH1_4	IDH1	152	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
2_MTIF3_3	MTIF3	100	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_MPC2_4	MPC2	138	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
4_GLS_4	GLS	173	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_ATP5L_4	ATP5L	290	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_PDF_4	PDF	119	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_HSDL2_4	HSDL2	70	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
3_MCCC1_3	MCCC1	131	Bulk Sample MSPH1-4 WT NegDox 2023-1-20	1
