Gene  log2(fold_change)   q_value
Sufu   -0.20826727  2.030404633371607
Cdkn2a   0.36330497  2.030400660716865
Fam131a   -0.32046688  2.0303854512703
Hs1bp3   -0.2406228  2.0301062741690896
Actr3b   0.37860358  2.0298663122487035
Sh2d2a   -0.6329349  2.0292561720631137
4933408B17Rik   -0.6228985  2.029071728980655
Kcne4   -0.6637405  2.0288776866903877
Gm16177   -0.51506966  2.028842894536389
Gm4617   0.41025442  2.0284632061063474
Cmas   -0.25128454  2.028036554425857
Ap3s1   0.29767475  2.0279371380046958
Hsp90aa1   -0.23389515  2.0278464489563777
Magi1   0.31556913  2.0276296663969817
Bche   0.33854148  2.026642796169959
Mrpl44   0.32533598  2.0266048025282357
Gm26840   -0.32913005  2.026137576164959
Xab2   -0.20487003  2.025719145668684
Calcoco1   -0.23273788  2.0256575766981153
Cybrd1   0.43165487  2.0255632536093855
Tspan2   0.3474507  2.0250282090844864
Gm8098   -0.28026605  2.0249088850948214
Rras2   0.21837366  2.024597377739826
Alpk3   1.1380703  2.0245107146870747
Cd302   0.287639  2.024128945040254
Yipf4   0.21989541  2.0238834214322985
Shpk   0.28071243  2.0234544355309
Gm6485   0.37249747  2.0233568260721277
Dag1   0.24098259  2.0233498382315336
Scml2   0.43520102  2.0233070105978754
Gon4l   -0.21749975  2.0231909343927024
Fbxo17   0.38253587  2.0231199429658453
Pcdhb17   0.25905663  2.0226826117248518
Cog2   -0.22512406  2.0219891545870583
Zfp729b   -0.26184925  2.0219861156482914
Rcl1   -0.2787437  2.020278792537539
Cldn15   0.39063495  2.01963876376045
Cdk5r2   -0.6621541  2.019537933120246
Oaz1-ps   0.33525464  2.0194016370346404
Prkca   -0.25595114  2.019078821904334
Ccna2   0.56593907  2.017926584518045
Myh11   0.36886427  2.0177949911463053
Vamp2   -0.22825924  2.0170031065103395
Gm9930   0.42142615  2.0165398960437795
Dpf2   -0.21733889  2.016463106921559
Gm11652   0.4263236  2.015937159224444
Mfsd3   0.3842311  2.0155423207535472
Nfia   -0.22778456  2.013763567221736
Kpna2   0.4065521  2.0125226609835183
Ctsl   -0.23315994  2.0121446596740156
Cdkn1a   -0.25633326  2.0120706590391815
Hyi   -0.22582312  2.0119849633396543
Mecom   -0.2771038  2.011683136718094
Pkhd1l1   -0.46433082  2.010970545670139
Akap5   -0.35223743  2.0108946282548925
Idnk   -0.2695667  2.0102709210986127
Crmp1   -0.5808022  2.0094175012602973
Card10   -0.2199747  2.0087226273218413
Gm23123   -0.58293635  2.0086078984630484
Wdr44   0.22274719  2.0081339068424597
Plekho2   -0.25736672  2.008114259193625
Sh2d6   -0.53460723  2.007967746527787
Myo1e   0.2754545  2.007834016962617
Zfp418   -0.3736685  2.00659922326489
Rps23   -0.22864914  2.0060815383640875
Ywhab   0.2288953  2.0052957723806983
Ptpn21   -0.22972122  2.004309456205737
Gm17538   0.50952584  2.0038995057699456
Cdc42ep5   0.31598008  2.003511490175272
Tlr7   -0.54209036  2.003233528849657
Gm9920   -0.41562173  2.0024917195253344
Gm10557   -0.34680346  2.0019357785903873
Msrb2   -0.53943753  2.0014415619134693
Sh2b2   -0.38262603  2.0014188477144366
1700086O06Rik   0.5187092  2.0013240270191974
Capns2   0.6557276  2.001148081271769
Rapgef2   -0.23009667  2.0003584705938526
1110002L01Rik   -0.3344348  1.9996556621334027
Lama1   0.5892672  1.999626164449244
Gm12688   -0.21453321  1.999266648810981
Frk   0.5249202  1.999014833752793
Nmrk1   0.25807783  1.9987363598801902
Lypla2   -0.21999444  1.9981244737479895
Pusl1   0.2778937  1.9976084103716023
Rnf31   -0.21049601  1.9972642232050677
Ost4   0.32286075  1.997237101811079
Lipa   0.22898132  1.9971614512837594
Gm4221   -0.28967538  1.9971558518350525
Slc24a5   0.4500159  1.996963403568104
Rab2b   0.23751147  1.9957244101163394
S100a4   0.24630737  1.9957170645477373
0610038B21Rik   -0.44383714  1.995574439649716
Stxbp3-ps   0.5593398  1.9951975298681277
Tars   0.21609823  1.9951602740403531
Utp15   -0.25582254  1.994872793393194
Nectin1   -0.28790924  1.9947929401522355
Myct1   -0.43147907  1.9947647903926649
Fkbp2   -0.21911517  1.9944846503690086
Tmem255a   -0.44752923  1.9943212898366593
Magt1   0.21547587  1.9928208699792214
Elp5   0.27855968  1.9914684295251535
E230001N04Rik   -0.8006498  1.9912275200497895
Pfdn5   -0.21764402  1.9906815133538622
Gm13456   -0.2136659  1.990668859659196
Fam19a5   0.21765336  1.9903621656232453
Selenbp1   -0.3191762  1.9902689327029717
Plekhf1   -0.2518968  1.9892911106135156
Mfsd2a   0.26996112  1.9881165258167368
Gm6382   0.503412  1.9872098311740434
Fam49b   0.21068576  1.986816066090636
Klhdc10   0.20949844  1.9866423283764514
Rtraf   0.22059281  1.9864923015185378
Gm26982   -0.32598034  1.9855429069739314
Elfn2   0.6012258  1.9852693524612266
Gm22343   -0.69429845  1.985213478851007
Nop10   0.31233448  1.9848224509671468
Gm13532   -0.50531447  1.9846678174985826
Prf1   -0.59086305  1.984586281286918
Gm49339   0.38839328  1.9844222531723699
BC025920   0.6908679  1.9843805186532282
Gm14270   0.52906567  1.9843344501026747
Arhgap26   -0.23536932  1.9841160598546925
Nrcam   0.23788372  1.9835664477626525
Fbxo44   -0.2430311  1.983388941989052
1810008B01Rik   -0.53868634  1.982775333192379
Galnt17   0.23151071  1.9826497998106154
Gm14414   -0.40301788  1.982070494306509
B830012L14Rik   0.60930496  1.979954852558823
Psme4   0.20443992  1.9796389115180437
Rasgrf2   0.32137218  1.979247792229119
Rapsn   -0.21652748  1.9792043319895427
Irf2   -0.22858137  1.9784094399533954
Sumo3   -0.20606264  1.977860154438939
Myl12a   0.21301354  1.9778434619177105
Svil   -0.24134248  1.9776969027755849
Gm9967   -0.37041792  1.9771553264458641
Gm26777   -0.54598397  1.9760914359691417
Fbxl12   -0.24090534  1.975438453257289
Olfm1   0.20522472  1.9749062589539643
4930556M19Rik   0.40504128  1.97477161734203
Ppp1r3b   0.33190557  1.9746089764137098
E4f1   -0.22590852  1.9736452679738845
Gm23172   -0.6384316  1.9729670875083694
Gm16386   0.32831815  1.9726807731606932
Dlx2   0.44872487  1.9716033288927932
Rab37   -0.8445325  1.9714637808185762
Thy1   -0.29074144  1.9696688365955684
Gm20456   0.63378847  1.969620556916935
Ccnq   0.33621463  1.9693422465219435
2810408A11Rik   0.3810217  1.9691805929313548
Gm11628   -0.44904622  1.9682771380998405
Ifit1   -0.35725278  1.9681120304803355
Rpp21   0.3015097  1.9680171166055407
Gm15419   -0.58095795  1.966523889316179
1700109K24Rik   0.40510368  1.966501102722319
Zfp458   -0.31286407  1.965730071980836
Slc26a11   0.21349855  1.9656178303618557
Gm26603   -0.22510195  1.9652521483874974
Sh3bgrl2   -0.42661783  1.9652380045634166
Slc25a24   0.21727133  1.964870122727165
Rhobtb1   0.25708824  1.9642199621248013
Sh2b3   -0.23286085  1.9639828724126407
A430035B10Rik   0.5266148  1.9636743787951358
Peak1   -0.27909768  1.9628185286669413
Gjb5   -0.43689513  1.9624642614993366
Sh3pxd2b   0.24871056  1.961900980622035
Vta1   0.25054154  1.9612618561837771
Nedd4l   -0.20488209  1.9601967444800625
Ebf1   0.23012924  1.9592388909630583
Rhoj   -0.23281333  1.9591794849826765
L3mbtl3   0.20887662  1.9576594911667167
Megf8   -0.2372934  1.9576515756299269
Ttll12   0.23486641  1.957241108999585
Phxr4   -0.3267315  1.956629309476301
Gm4737   0.46283713  1.9564335409744058
Kremen2   -0.4636486  1.9564079262837575
Spata18   -0.37147897  1.9549876018204848
Acp6   -0.2353721  1.9549711815059028
Zfp422-ps   -0.459649  1.9541063384257413
Tpra1   -0.2356912  1.9533815827861496
Acss1   -0.23586492  1.9533051849995464
Kmt2b   -0.23111537  1.9531931734880925
Exoc3l2   0.7896858  1.952065141783594
Shisa7   -0.44204855  1.9511175583466225
Gigyf1   -0.24377266  1.9509560981929077
Ralgps1   -0.23256588  1.9497643015304302
Sag   -0.52090293  1.9497463961228134
Slc16a14   -0.7538662  1.9496421113482227
Nr3c2   -0.22457689  1.9495110378804144
N4bp2   0.28974187  1.9493599896888978
Shc2   0.3103247  1.949068320850787
Aasdh   -0.20880224  1.948503330260723
Tmem147os   -0.32078978  1.9480465290935984
Gm12470   0.47484928  1.9473890349272216
Plppr2   -0.21280572  1.9470344476054393
4933407K13Rik   -0.2704553  1.946652427797676
Hs6st1   0.20349674  1.9464628815443263
Il1r1   -0.25319177  1.9456076565350704
4930513N10Rik   0.4354498  1.9453542965423232
Hoxc8   0.3730586  1.9452148195495462
Zeb2   0.26288572  1.944803173568443
Gm11745   -0.4025431  1.9446820047696876
Lctl   0.21983843  1.9440260936468086
Cybb   0.3418076  1.9434044271933453
Gpr37l1   0.23481117  1.9431781503786425
Grik5   0.23177724  1.9430556181469474
Gm24407   0.4303382  1.9430033020819772
Vti1a   0.205261  1.9418732984987537
Gramd1c   0.40205637  1.9418512745063141
Pacs2   0.23277208  1.9408913129265841
Psmb4   0.21728829  1.9404677484582438
Mob3a   0.25200078  1.9400623032478728
Cep104   -0.22557503  1.9396636564850405
Gm6919   -0.53245634  1.938758297606643
Gm14122   -0.54514664  1.9384361594264603
Pgpep1   -0.22463724  1.9380124950149151
Myc   -0.46877062  1.9364836004509673
Impdh1   -0.25377718  1.93579762469228
Gm15122   -0.4019335  1.9352857994325752
Gm12959   -0.53047144  1.9342472630193945
Gm15787   -0.356678  1.9339587314959428
Kcnh7   -0.26783246  1.933569412917036
A3galt2   -0.55913866  1.9331549109459252
6530402F18Rik   0.2662727  1.9322529536004127
Klhl34   0.31022263  1.931749315068909
Dstn   0.22720811  1.9316608753349767
Hoxd9   -0.3374219  1.9315006753622936
Ccdc149   0.36128768  1.9307899561714348
Ranbp17   0.29724285  1.9301057175630087
Hspb11   0.46221897  1.930086004626486
Impa1   0.20858479  1.929903267776178
Cdh24   -0.41193768  1.9293709547362503
Urb1   -0.21824501  1.9283738999284932
Gdf7   0.5935698  1.927554686354303
Rplp1-ps1   -0.5883019  1.9268638558119802
Gm8173   -0.3974113  1.9268507563464075
Sympk   -0.23681936  1.9261975358362011
Gm14176   0.61491734  1.9253728471446938
Pde11a   -0.37885004  1.9247797208943924
Cd274   -0.3784279  1.9241384657479799
Etv4   0.41011086  1.9241212174681253
Gm4788   0.58924353  1.9237819257091142
Glrx3   0.20959468  1.9236544021841666
Slc25a22   -0.20943274  1.9230220238101348
1810059C17Rik   0.5100392  1.9223765965652027
Rps15a-ps7   0.5136398  1.9219143626839488
G630030J09Rik   -0.46874508  1.9212296551802963
Soga3   0.22830027  1.920964490069709
Hbegf   0.20572104  1.9207401823213874
Rchy1   -0.22468108  1.9200091154457282
Gfap   -0.43219993  1.9194954514908635
Gm7701   -0.4408969  1.919488746643818
Zbtb3   -0.43128774  1.918615773601546
Fzd7   0.22303005  1.9185489890909804
Fbln1   0.32183063  1.9177696249728495
Gfpt1   0.22678027  1.917758266696403
Rps19   -0.20415463  1.9175053756351292
Gmeb2   -0.2017666  1.917466747948086
Zfp595   -0.2884072  1.9171924430472462
Ms4a14   -0.5377438  1.916901393153646
Efnb2   0.2926961  1.9168977454334408
Gm7803   -0.53119475  1.916789535786263
Rbm4b   -0.20243655  1.9167460728477572
Tfip11   -0.20897177  1.9166233939518127
Snap25   -0.4274472  1.9160947603277616
Rgs19   0.28947788  1.915925798289303
Ccdc126   0.41144982  1.914398034192682
Specc1l   -0.22574149  1.9134280075535304
Syngr2   0.20929231  1.912977258401325
Jph3   -0.44701037  1.9129475857422258
Cyp2f2   -0.8193385  1.9125897664742704
Cklf   0.4194174  1.9118364034595816
Ptpre   0.24822202  1.9113533194775838
Pdzd11   0.2619238  1.9108060122722217
Stt3a   0.21951608  1.9106542538097724
Bsdc1   -0.2039412  1.910171639784102
Gm13898   0.4574122  1.9100450349570484
Mov10   0.28308287  1.9098814184399884
Acads   -0.20784709  1.9096575708204278
Clspn   0.7576423  1.9095669393620254
Zfp598   -0.2076545  1.9095088027510316
Amotl1   -0.24087027  1.9092850385157385
Scaf11   -0.22444065  1.9091482904214017
Eif4ebp1   -0.26697585  1.908810723355895
Tgm4   -0.52037346  1.9083272901771464
Smg8   -0.2649897  1.9075055581261027
Hoxa7   -0.31303406  1.9071033233492496
AU040972   0.38231564  1.906710578007651
Bcl2   -0.23767334  1.905521044696757
Arhgef9   0.20144014  1.9052516992111654
Aoah   0.39488325  1.905147346083291
Lsm8   0.2501958  1.9049008275307706
Zfp202   0.3548714  1.9045751997998666
Rbm27   -0.20702328  1.9041648376753044
4921531C22Rik   0.38812682  1.9040942095370248
Retreg3   -0.20993736  1.904074602609897
Ppp1r7   -0.20100486  1.9030320879266962
Mki67   0.3762728  1.9029821241104814
Slc23a1   -0.29758626  1.9024876169756557
Ntmt1   -0.24432515  1.9011502766459492
Pex5   0.19826621  1.9008335454054137
Aldh1a7   0.4944907  1.900626866546983
Tmem144   -0.41483825  1.9000695550382876
Psmd3   0.22298974  1.9000203367963233
Cdca8   0.47827873  1.8999332643020408
Hspd1-ps3   0.36245927  1.8998953094433138
Ykt6   0.2017178  1.899870505077784
Gm28258   0.46310148  1.8998615397958383
Peg10   -0.22198644  1.899193354501426
Mastl   0.45970997  1.8990889348785844
Bhlha15   -0.49891505  1.8973432888156767
Klhl4   -0.46541443  1.8969364790228487
Unk   -0.21954904  1.8968705308273175
Ms4a7   -0.46026868  1.8965783849612385
Gm15901   0.412363  1.8962838429652087
Tbl2   0.20196442  1.896174168838689
Fam76a   -0.20311841  1.8959557496932686
Ghdc   0.21619421  1.8958332137264526
Ndufa13   0.22821018  1.8956989871030006
Zfp976   -0.33565572  1.8952413829670176
Nmnat2   0.2459418  1.8946153183592238
Terf1   -0.22570854  1.894569736816015
Uba52-ps   -0.43138066  1.8941344386670642
Fblim1   -0.3214434  1.893933298645152
Tmem176a   0.21881725  1.893696260867706
Cdpf1   0.30049178  1.8915896495336462
Socs2   0.34424445  1.8914201347682673
Bicra   -0.24044655  1.8910962992093103
Trim72   1.0991426  1.890920055855191
L3hypdh   0.4003337  1.8901181213006377
Use1   -0.20876049  1.8900361482294854
Gm26580   0.73112375  1.8899637492039012
AI429214   0.30417374  1.8896642465368334
Ndufa12   -0.25511697  1.889562394651571
Zbtb6   -0.2423547  1.889558746712585
Hgs   -0.2327476  1.8885915266250786
Mylip   -0.22377008  1.888423799533111
Nol3   -0.27536663  1.8872234468026357
Malat1   0.22818573  1.8857500745163482
Ctdspl   -0.22018698  1.883857242366415
Gnptg   0.2021677  1.8835895521563921
Parm1   0.38267893  1.8833101760814062
Gm16152   0.45749652  1.8833083144893088
Gm17214   0.37676084  1.8827794687540342
Gm17491   -0.28869227  1.8817622347585534
Prdx4   0.23408258  1.881254738865258
Mfsd7a   -0.25132087  1.8809891128409886
Ift27   0.27013522  1.8803116314295683
Mb21d2   0.27564207  1.8799015350843873
Gm4419   0.38651788  1.8796726808843094
Styk1   0.4785914  1.8793132980506637
Htra1   -0.36001736  1.8782168174072877
Rpl31   -0.2221005  1.8781253845490622
Nlgn3   0.30660722  1.8778285290901506
Sqstm1   -0.21911776  1.8777485315806517
Lmln   0.2690962  1.8771981741022812
Fam83g   -0.52373827  1.8769611753659117
Tex264   0.19419219  1.8765043761479887
Tldc1   0.2541035  1.876450173683476
Mast4   0.21114191  1.8761886418605291
Csrp1   -0.2222674  1.87611354193966
mt-Atp6   -0.23763052  1.8756687975336845
Rpl26   -0.2064791  1.8756417671850185
Pik3r2   -0.23372729  1.8755839169155977
Adam9   0.2253145  1.875562138857729
Cdc42se2   0.21911192  1.8752042299865266
Cpox   -0.27072683  1.8750038491845915
Wbp1l   -0.2301995  1.8748872542010362
Dnajb6   -0.19588245  1.8747898106561591
BC048403   0.2878446  1.8745179321708594
Rsbn1l   -0.20750491  1.8739612927361526
Hipk4   0.22439744  1.873237241713943
Tor1aip1   -0.22099882  1.8724949110000428
Tuba4a   0.74409145  1.8721986561791926
Gm26582   0.56551915  1.8707372738339236
Zfp36l2   -0.23423132  1.8700379836574679
Gpr171   0.5475066  1.8696757637413597
Gm15506   -0.48420745  1.8693144479158497
Antxr1   0.23801123  1.8689021720186156
Gm26780   -0.33346114  1.8680832441697377
Lonrf3   -0.33938164  1.8670819997402757
Zscan2   -0.28566548  1.8665020240910903
Dlx1as   0.39981622  1.8659036083002527
Hivep2   -0.23364218  1.8657264542412284
Tlr3   0.2811367  1.8657033495036008
Hmbs   0.28611296  1.8653600182525176
Thoc3   0.23247313  1.8647298737756193
Impad1   0.20690957  1.8637941446615598
B3gat2   -0.5047656  1.8633243993259754
Ptgis   0.41210565  1.8626368941175249
Lamc1   0.25705475  1.8625406369520858
Magi3   0.22990078  1.861990910698072
Gm29017   0.42823705  1.861699381023513
Parp4   -0.23101513  1.8612736510726084
Ccer2   0.46250448  1.8608172544087525
Smndc1   -0.20905373  1.8607653324832227
Ecm1   -0.254033  1.8602662722929206
Adgrg5   -0.43750927  1.8602049963281688
Scai   0.20374349  1.8600896353647836
Patl1   -0.21830668  1.8592310213243775
Gm9017   0.61691284  1.8591282054853875
Zfp800   -0.22828765  1.8589309243213643
Gm16973   -0.3397631  1.8586759413362968
Papss1   0.22575891  1.8586075936184505
Dus4l   -0.34562865  1.85856916800198
Wnt5a   0.38639838  1.8585089517222897
Ctif   -0.22529468  1.858445394027245
Klf3   -0.22921048  1.8583694168205616
Agt   0.45437896  1.8577041222436423
Gm27353   -0.48793703  1.8573606618872351
Cdo1   -0.53227824  1.8568253205418563
Mettl6   -0.26423353  1.856672759221618
Lrig1   0.22554882  1.8564986635753198
BC049715   0.3892362  1.855624827555745
Hspb1   -0.28946978  1.855380595139229
Aptx   -0.20589241  1.8547422324957685
Rab40c   -0.21456379  1.8545132565887934
Commd3   0.2179919  1.854333444908917
Akap8   -0.21462204  1.8534122388735608
Rab4b   0.39441872  1.8532781672650482
Efemp2   0.20122199  1.8530402106561639
Ube2o   -0.202596  1.8529286196699002
Rasgef1c   -0.23750967  1.8529126519611692
Mmp15   0.22390567  1.8527011989125326
Rnf144b   -0.26068982  1.8524780100231633
Efhd2   -0.20495516  1.8512044400512024
Peli2   -0.2463996  1.8511138309793318
Tmc6   0.23531474  1.8504103956833704
Yap1   -0.22418007  1.8503798681032637
Slc36a2   0.23706973  1.8503636566305748
Msh2   -0.1984567  1.8501966274032948
Zmat3   0.21816328  1.8501793762577046
Nkiras1   0.26379952  1.8497678066835364
Hspa12a   -0.2785475  1.8495869516004022
Gm17083   0.49349183  1.8495280315499678
Tmem45b   -0.78264385  1.8490545237795235
4931414P19Rik   -0.28357366  1.8476106683359816
Arrb1   -0.23828612  1.8475911927639737
Acadl   -0.20317008  1.847483894836238
Ptprf   -0.24578525  1.8468774762212707
Cyb5rl   0.3551039  1.8468143700882595
Dhx15   -0.1971626  1.8463876579797553
Spout1   -0.24661785  1.8463117415723704
Ankrd55   -0.4990671  1.8461396290741943
Lsm2   0.28119797  1.8436059347549518
Ifi44   0.71310765  1.8433135020469906
Arl10   0.20269747  1.8432773540389678
Rcbtb1   -0.19739707  1.8432487377926192
Tnfrsf10b   -0.6270107  1.843146046098268
Map2k4   0.20627216  1.8430209666116912
Zfp512b   0.20368426  1.842486096578235
Hipk2   -0.2253312  1.8421146314175834
Snrpd2   0.23185852  1.8417501654447948
Gm21399   0.38772082  1.8416703710455016
Cndp1   0.23103769  1.8415450061338297
Plekha3   -0.22662766  1.8415030020661947
Metrn   0.35466948  1.8414328112867817
Snn   0.21896534  1.8405693135547287
Fbxl6   0.20107247  1.8390398778634667
Cyc1   0.19514982  1.8386048514251423
Dhrs1   0.20161968  1.8385573492279226
Rmi1   0.3130205  1.838226489223087
Sdf2l1   0.40806487  1.8381314293711317
Gm28370   -0.35191453  1.835909324311062
Tmem88b   -0.25973666  1.834637537177172
Map3k19   -0.5881301  1.8346059941825277
Srarp   0.52537686  1.8342743863452213
Krit1   0.1981699  1.8339803793108134
Tnfsf10   0.5080633  1.8336404947815608
Map3k3   -0.21367429  1.8320420233244712
Chchd10   0.45762113  1.8314207076553366
Gm13341   -0.2026384  1.8312330024044892
Psma1   0.21026887  1.8297358778089348
Kif27   -0.5230253  1.8295611162229437
Ppp2r5b   0.1882615  1.8295107920358196
Cd320   0.29672652  1.82892992601306
Gm16161   -0.51945716  1.8288479933257737
Ptk7   0.24987535  1.82794402469194
H2-Q7   -0.33896214  1.8275565153880495
H2-Q7   -0.33896205  1.8274185460564023
Adgrf5   -0.22615  1.8264539413056093
Map3k2   -0.20088986  1.82578234221298
Cabp1   -0.36940396  1.825242188684722
2610203C22Rik   0.42449704  1.8250767146632112
Hk1   -0.2195574  1.825012843468927
Sult5a1   -0.3818848  1.8249822495951584
Gm5913   0.40175807  1.8245727884780552
Atxn7l1   -0.18657911  1.8242960282265985
Bud31   0.27867553  1.823497123439764
H2-M5   0.4214799  1.8232346849957135
Prkag3   0.66624844  1.8228401418988471
4930451E10Rik   -0.4394265  1.8223678543003052
Rho   -0.41150752  1.8222764100863742
4631405J19Rik   0.34576216  1.8217281045899973
Rps8-ps1   -0.4835261  1.8199232175046454
Ssr4   0.21178406  1.8195568208625321
Atp8a2   -0.3242723  1.8186637801753451
Incenp   0.26467714  1.8186311757139773
Spry1   0.22097844  1.8174821572327327
Plcl1   -0.20919685  1.8174624340607524
Mtap   0.22628814  1.8173739139170646
2310009A05Rik   0.4081873  1.8168205883697246
Dolpp1   0.22335641  1.816735058395748
Pald1   -0.19603875  1.8167148916220288
Gm15793   -0.4359821  1.8163881549000416
Rbpms   -0.20139773  1.8158721008959477
Gm25053   0.41698602  1.815656065767924
Gm13110   -0.3051121  1.8152655077456392
Tnfaip8l2   -0.373963  1.8151609819908832
Myo5a   -0.21318042  1.8146393403239967
Clca3a2   -0.5490623  1.8141093763843488
Ank3   -0.22364442  1.813538299197364
4931406C07Rik   0.20422262  1.8133814197619946
Ep300   -0.21705015  1.8120768113627463
B3galnt1   0.29923102  1.8120183269137766
Mcm5   -0.35096806  1.810977492824901
Gm10145   -0.53807074  1.8108339547776624
Dmtf1   -0.19583872  1.810153454774313
Pxk   -0.19959965  1.8097751440559733
Gm13840   -0.37564698  1.8095930960463156
Pigf   -0.40630963  1.8085988796398136
Nup188   -0.18729483  1.8085062310759796
Cep250   -0.22584912  1.8082439703515922
Ilvbl   0.2216964  1.807758174332199
Acot11   0.22148061  1.8076150976036303
Ovca2   -0.3545035  1.8071278818756231
Aff2   -0.38401175  1.807011766131428
B3gnt9   0.25036937  1.8068407491984286
Gm13241   0.42063397  1.8064170545814375
Sult4a1   -0.5031964  1.8061355679838247
Noc2l   -0.19472542  1.806077611357586
Auh   -0.19712564  1.8059498284110302
Syn1   0.24967785  1.8058673993900558
Plcl2   0.34967577  1.8058445489831454
Icam5   0.52613443  1.8055512577837272
Lman1   0.19406305  1.8050496436587398
Ppp1r13b   -0.19629267  1.8049016996878322
Hcfc1r1   0.19233894  1.8048992537681359
Prex2   -0.24827215  1.8038933104693908
Supt16   -0.19998871  1.8034709530245816
1700120O09Rik   0.33622733  1.8033520953713158
Ctcflos   -0.61802256  1.8031010391885798
Tgtp1   0.5208955  1.8025945967729222
Hoxb3os   0.40318653  1.8022914145820972
Dld   0.20857291  1.8022664773070227
Tie1   0.26446566  1.8021579712594658
Llgl2   -0.31411964  1.8019382848248338
Gm24265   0.40258688  1.801747453342226
Phf20   -0.18728401  1.8008143215751358
Smyd3   -0.2191235  1.80072031653452
Map3k4   0.22676755  1.800510055099224
Rdh14   0.26654565  1.8002314884558093
Vps29   0.19694814  1.800000505634603
Gm13622   -0.47502074  1.7997948117532436
Rnaset2b   0.3018174  1.7997748936024225
Rnaset2b   0.30181727  1.7997111762098554
Erbb4   0.19904374  1.799369586835613
Yif1b   0.21826784  1.7991727596442515
Gm15445   0.4164483  1.7983995183626502
Oas2   0.48665136  1.7975679700781664
Ndufa9   0.21280791  1.7974953110564917
Sec14l1   -0.2306947  1.7974652778050044
Prdm2   -0.22374013  1.7970189317602097
Gins1   -0.551618  1.7968620163184377
Lynx1   0.22456074  1.7966853586381495
Slc15a2   -0.3946379  1.7960737675170944
Hcn2   0.32894376  1.7958025380527474
Fancm   0.2321049  1.7951026732006619
Nod1   0.2231092  1.7946170311335283
Snx6   0.19501814  1.7945990987306173
Tmem59   0.2125487  1.7945630555735053
Jade1   -0.19330499  1.7930362704249316
Ttc30a1   -0.426475  1.792932789277878
Zfp518b   0.26054847  1.7927308707468437
Top2b   0.22203213  1.7924906980719169
Jkamp   0.20862468  1.791607101562229
Ankrd9   0.31560934  1.7907258927677465
C1galt1   0.22195338  1.7907218736185548
Taf4   -0.20924832  1.790233979612598
Cnbd2   -0.34995094  1.7901434632380437
Impg2   0.47671056  1.7896089231461876
Eps8   0.2006809  1.789348984714629
Zfp948   -0.25686586  1.7892184165717862
Odf2   -0.22939207  1.788373079387439
Reln   -0.2220072  1.7878384158617366
Txnrd3   0.2907118  1.7871026298187938
Klhdc4   -0.23175247  1.7868942332516533
Hist1h2bg   0.37667745  1.7866864138317464
Wdr5   -0.20791383  1.7865497000353725
Smpdl3a   0.2688895  1.7864926006520125
Birc2   -0.19378431  1.7863588478826016
Gm9774   0.34413695  1.7852792538319844
Adcy9   -0.20482354  1.7852741017363474
Rnf157   -0.23669828  1.7848891021159254
Wdr60   -0.23168686  1.7848644174623731
Ubxn4   0.2532552  1.7842391577493015
Cdc45   -0.35807157  1.7839431745216527
Slc17a9   -0.35790133  1.783933327664674
Fnip1   -0.23676601  1.783895005684814
Farp2   0.18752721  1.7836297194746065
Slc25a10   0.24147335  1.783565071615419
Gm14052   0.4517733  1.783292248707491
Nudt17   -0.44257644  1.78269065222533
Gm10647   0.4511914  1.7825540406389668
Crygs   -0.5905307  1.7824046043311315
Inpp4a   -0.22524466  1.7819024245851287
Snx24   0.22573715  1.7817117491278107
1010001B22Rik   0.55858505  1.7803177542769137
Ndufa11   0.19719942  1.7797262477418736
Sostdc1   0.28137025  1.779623251450709
Gm17230   0.4044895  1.779620601600346
Fanca   -0.2106045  1.7785495772847142
Eno1   0.21937686  1.7785228428378412
Gimap1   -0.36557525  1.7784202350787606
Tanc2   0.2213938  1.7775692524026192
Igfals   0.49615487  1.7774934486648062
9130017K11Rik   0.54963493  1.7773235281401398
Cyp3a13   -0.2953454  1.7771516980523567
Mfap1a   -0.19476849  1.776820369644866
Gm8129   -0.52764153  1.7767750088377317
Angpt1   0.6291027  1.7763254755852407
Myl6   -0.22210252  1.775931408659445
Col4a3bp   0.21368697  1.7758827442017948
Prkar2a   -0.20491858  1.7756445601259094
Spock1   0.23003523  1.7754590323068709
Cwc15   0.19411546  1.7754176912995852
Gm7331   -0.30794355  1.7752720438365486
Surf1   -0.19941813  1.7741317841885986
Map4   -0.21834049  1.7740511459695527
Apoo   0.37344652  1.7740100387916276
Rhot2   -0.20116372  1.7732174750295135
4921507P07Rik   0.3944709  1.7726468178475507
Slc25a19   -0.2090868  1.7721984347137136
Deaf1   0.18677785  1.7709521215106923
Emc2   0.22130297  1.7673098928515691
Gm13479   0.3747691  1.7662134439661288
Carnmt1   0.21420427  1.7661457292316338
Eml1   0.21804416  1.766021466756711
Miga1   -0.20262493  1.7660097035777351
Fcf1   -0.29171252  1.7659378204904486
Snora31   -0.55313236  1.7659324185762715
Hgsnat   0.18556908  1.7657757757573842
Ubac2   0.19677112  1.7655911987228858
Rtca   -0.24422212  1.764780473777063
Tchp   -0.22645338  1.7645476163588016
Psma5   0.23042962  1.7642965461336806
Wwp2   0.23021513  1.7640822380596124
Entpd6   -0.25971258  1.7638470217205837
Mbp   0.22445215  1.7636059497812635
Pdap1   -0.19290598  1.762453294119642
Hdlbp   0.2131141  1.7622271410582
